publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Humble Games,747.0,747.0,94.75230867899737,2,78.0,0.12684378671887198
HypeTrain Digital,672.5,672.5,91.21677477306463,2,78.0,0.1356383268000961
INFORMATION SOLUTIONS GROUP,1017.0,1017.0,,1,78.0,
Iceberg Interactive,828.0,828.0,,1,73.0,
Innersloth,1037.0,1037.0,,1,82.0,
Introversion Software,2257.0,2257.0,,1,83.0,
Irregular,1261.0,1261.0,41.012193308819754,2,78.0,0.032523547429674664
Jackbox Games,1382.0,1382.0,,1,74.0,
Jacob Janerka,1850.0,1850.0,,1,86.0,
Kabam Games,1235.0,1235.0,,1,78.0,
Kalypso Media,1482.0,1281.0,648.5363007059307,4,74.75,0.4376088398825443
Kasedo Games,1194.5,1194.5,922.7743494484445,2,70.0,0.7725193381736664
Kiss,3431.0,3431.0,,1,78.0,
Koch Media,1997.0,1997.0,,1,72.0,
Koei Tecmo Games,1426.5,1426.5,34.64823227814083,2,84.0,0.02428898161804475
Komi Games,1008.0,1008.0,,1,78.0,
Konami,1424.3333333333333,1960.0,970.5464096751548,3,78.0,0.6814039852622197
Kongregate,820.0,791.0,261.7078523850593,3,68.0,0.31915591754275524
Krillbite Studio,2703.0,2703.0,,1,66.0,
LEAP Game Studios,513.0,513.0,,1,78.0,
LEGO® Games,1098.0,1098.0,,1,78.0,
M2H,1765.5,1765.5,723.3702371538382,2,74.0,0.4097254246127659
Majesco Entertainment,2601.0,2601.0,555.7859300126264,2,68.0,0.21368163399178255
Maple Whispering,925.0,925.0,,1,78.0,
Matt Makes Games,1216.0,698.0,1000.2394713267419,3,89.66666666666667,0.8225653547094917
Mellowsoft,427.0,427.0,,1,78.0,
Merge Games,2218.0,2218.0,1653.215654414148,2,69.5,0.7453632346321677
Meridian4,3766.0,3766.0,,1,84.0,
Mi'pu'mi Games,1401.0,1401.0,,1,78.0,
Microids,1128.0,1128.0,100.40916292848975,2,79.0,0.0890152153621363
Microsoft Studios,2989.5,3137.0,1275.6574122127513,10,84.4,0.4267126316149026
MidBoss,2187.0,2187.0,,1,78.0,
Midnight City,3283.0,3283.0,1069.1454531540599,2,74.0,0.3256611188407127
Mighty Yell,961.0,961.0,,1,76.0,
Milestone,1726.5,1726.5,762.9682169002848,2,76.0,0.4419161406894207
Mischief,680.0,680.0,,1,78.0,
Misfits Attic,2473.0,2473.0,,1,83.0,
Modus Games,254.33333333333334,219.0,106.49100118476365,3,75.0,0.41870642667665914
Mokuzai Studio,3632.0,3632.0,,1,78.0,
Monomi Park,1148.0,1148.0,,1,81.0,
Monstrum,1617.0,1617.0,,1,78.0,
Moonlit,597.0,597.0,,1,78.0,
Netflix,358.0,358.0,,1,78.0,
Nexon,656.0,656.0,164.04877323527901,2,78.0,0.2500743494440229
Nicalis,2920.5,2993.5,1844.3977336789374,4,82.5,0.6315349199380028
Night School Studio,1162.0,1162.0,,1,80.0,
Ninja Kiwi,1760.5,1760.5,163.3416664540925,2,78.0,0.09278140667656488
Nintendo,867.0,867.0,,1,70.0,
Nival,1345.0,1345.0,,1,73.0,
Noodlecake Studios,2036.0,2036.0,,1,66.0,
North Beach Games,415.0,415.0,,1,78.0,
Nuverse,484.0,484.0,,1,78.0,
Oddworld Inhabitants,2341.0,2341.0,,1,87.0,
Over The Moon,2485.0,2485.0,,1,76.0,
PQube,2206.25,2176.5,470.7337357785184,4,77.0,0.2133637329307732
Paradox Interactive,1811.0,1491.0,1070.0223128514658,9,80.88888888888889,0.5908461142194731
Passion Republic Games,489.0,489.0,,1,78.0,
Payload Studios,3606.0,3606.0,,1,78.0,
Perfect World Entertainment,1772.25,1853.5,1364.412785780022,4,82.0,0.769876025267328
Picogram,1289.0,1289.0,,1,78.0,
PlayStack,1265.0,1265.0,569.9280656363574,2,75.0,0.4505360202658951
PlayWay,1791.0,1791.0,,1,78.0,
Playdead,1398.5,1398.5,341.5325753131024,2,87.0,0.24421349682738822
Plug In Digital,2815.5,2815.5,464.5691552395617,2,73.5,0.16500413966953
