publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
KEMCO,425.0,425.0,,1,80.0,0.5
KRAFTON,396.5,396.5,301.9345955666558,2,72.5,0.7614996105085896
Kalypso Media,1739.6666666666667,1383.5,983.2136855817008,12,71.08333333333333,0.5651736073472126
Keen Software House,1401.0,1401.0,,1,68.0,0.5
Kepler Interactive,548.0,548.0,84.8528137423857,2,78.0,0.15484090098975495
Klei Entertainment,2161.0,2161.0,,1,75.0,0.5
Koch Media,1064.0,1064.0,,1,58.0,0.5
Koei Tecmo Games,1728.5,1052.5,1839.1426444587344,4,78.75,1.0640107864962305
Konami,2655.1363636363635,1801.0,3457.270989495211,22,78.95454545454545,1.3021067531011015
LLC,489.0,489.0,,1,83.0,0.5
LOOT Interactive,913.0,913.0,688.7220048756973,2,76.5,0.754350498220917
Landfall,244.0,244.0,,1,76.0,0.5
League of Geeks,2069.0,2069.0,,1,75.0,0.5
Lienzo,1283.0,1283.0,,1,78.0,0.5
Lince Works,1612.0,1612.0,,1,71.0,0.5
LucasArts Entertainment,6489.75,6411.5,1334.3698575232681,4,78.0,0.2056119045453628
Lucid Dreams Studios,15522.0,15522.0,,1,78.0,0.5
M2H,958.0,958.0,,1,78.0,0.5
Mad Mimic,184.0,184.0,,1,80.0,0.5
Majesco Entertainment,1469.6666666666667,1312.5,1061.1689152376575,6,74.16666666666667,0.7220473453647023
Maple Whispering,572.0,572.0,32.526911934581186,2,79.0,0.056865230654862216
Mastertronic,16557.0,16557.0,,1,78.0,0.5
Matt Makes Games,1201.5,1201.5,1182.989644925094,2,91.0,0.9845939616521797
Maximum Games,611.0,611.0,82.02438661763951,2,55.0,0.1342461319437635
Megagon Industries,1706.0,1706.0,,1,84.0,0.5
Merge Games,776.0,776.0,1011.1626970967629,2,72.0,1.3030447127535605
Metalhead Software,579.3333333333334,641.0,132.71900140271302,3,80.66666666666667,0.22908918539018355
Microids,973.0,973.0,,1,81.0,0.5
Microids Indie,1.0,1.0,,1,76.0,0.5
Microsoft Game Studios,2592.0,2592.0,,1,78.0,0.5
Microsoft Studios,2646.651515151515,2364.0,1948.3335489821266,132,79.58333333333333,0.7361503914770543
Midnight City,1673.0,1673.0,,1,72.0,0.5
Midway Games,2068.0,2068.0,,1,59.0,0.5
Mighty Yell,669.0,669.0,,1,77.0,0.5
Milestone,314.8333333333333,289.5,188.75954721991326,6,77.16666666666667,0.599553882117247
Milkstone Studios,487.0,487.0,,1,71.0,0.5
Mischief,806.0,806.0,,1,78.0,0.5
Modus Games,475.5,475.5,184.55486988968892,2,66.5,0.38812801238630684
Monomi Park,1218.0,1218.0,,1,80.0,0.5
Mossmouth,487.0,487.0,,1,89.0,0.5
Muse Games,610.0,610.0,,1,72.0,0.5
My.Com,279.0,279.0,,1,78.0,0.5
NASPAPA GAMES,670.0,670.0,,1,47.0,0.5
NEOWIZ,463.75,441.0,442.3628789429179,4,80.75,0.9538822187448365
NEXT Studios,335.0,335.0,,1,83.0,0.5
NIS America,336.0,336.0,,1,84.0,0.5
Nacon,334.3333333333333,274.0,249.04283433444402,3,63.333333333333336,0.744893821538716
Namco,12845.0,12845.0,,1,65.0,0.5
Neobite Games,15826.0,15826.0,,1,78.0,0.5
NeocoreGames,855.4,923.0,147.01122406129403,5,72.6,0.17186254858696987
Neon Doctrine,552.0,552.0,,1,78.0,0.5
Netease,304.0,304.0,,1,71.0,0.5
Netflix,253.66666666666666,273.0,35.23256069793017,3,65.0,0.1388931433558351
Next Studio,1486.0,1486.0,,1,78.0,0.5
NextNinja,335.0,335.0,,1,90.0,0.5
Night School Studio,699.5,699.5,127.9863273947651,2,78.0,0.1829683022083847
Ninja Theory,487.0,487.0,,1,88.0,0.5
NinjaBee,5174.0,5174.0,,1,78.0,0.5
Nintendo,8099.416666666667,8114.0,4872.087726078633,12,74.91666666666667,0.6015356323289084
No Goblin,1004.0,1004.0,,1,74.0,0.5
No More Robots,718.0,454.0,551.444013477343,5,77.0,0.7680278739238761
No Pest Productions,122.0,122.0,,1,78.0,0.5
Nokta Games,122.0,122.0,,1,78.0,0.5
Noodlecake Studios,639.0,639.0,,1,80.0,0.5
Nordic Games,1627.6666666666667,2020.0,689.0894958808568,3,75.0,0.4233603292325559
Oddworld Inhabitants,1219.0,1219.0,,1,86.0,0.5
Other Ocean,456.5,456.5,601.7478707897519,2,77.0,1.3181771539753602
Other Ocean Group,731.0,731.0,,1,75.0,0.5
Out of the Park Developments,122.0,122.0,,1,87.0,0.5
Outright Games,395.8235294117647,334.0,264.15720586757556,17,66.17647058823529,0.6673610491527395
Owlcat Games,153.0,153.0,,1,86.0,0.5
PM Studios,1029.5,1029.5,586.1915216036479,2,74.0,0.5693943871817851
POCKET PAIR,365.0,365.0,,1,70.0,0.5
PQube,1054.0,1054.0,,1,81.0,0.5
Panic,1414.5,1414.5,1871.7116498007913,2,82.0,1.3232319899616765
Paper Cult,516.0,516.0,,1,76.0,0.5
Paradox Interactive,1099.6153846153845,1127.0,817.2053534721794,13,79.84615384615384,0.7431738086840386
