publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Grey Alien Games,534.0,534.0,,1,78.0,0.5
Grindstone,332.0,332.0,,1,78.0,0.5
Harebrained Holdings,1834.0,1834.0,,1,78.0,0.5
Hatinh Interactive,777.5,777.5,60.10407640085654,2,78.0,0.07730427832907594
Headup Games,1159.6,938.0,906.2906818455103,5,74.4,0.7815545721330721
Hi-Rez Studios,1095.6666666666667,1556.0,919.4250014728408,3,78.0,0.8391466396162222
Hidden Path Entertainment,4609.0,4609.0,,1,81.0,0.5
Hinterland Studio,2280.0,2280.0,,1,76.0,0.5
Humble Bundle,1700.25,1771.0,644.9203439185338,4,79.75,0.3793091274333385
Humble Games,747.0,747.0,94.75230867899737,2,78.0,0.12684378671887198
HypeTrain Digital,672.5,672.5,91.21677477306463,2,78.0,0.1356383268000961
Hyperstrange,746.0,746.0,,1,78.0,0.5
INFORMATION SOLUTIONS GROUP,1017.0,1017.0,,1,78.0,0.5
Iceberg Interactive,1068.5,1068.5,340.1183617507294,2,75.5,0.3183138621906686
IndieArk,1053.0,1053.0,,1,78.0,0.5
Innersloth,1037.0,1037.0,,1,82.0,0.5
Introversion Software,2257.0,2257.0,,1,83.0,0.5
Irregular,1261.0,1261.0,41.012193308819754,2,78.0,0.032523547429674664
Jackbox Games,2358.5,2358.5,1380.9795436573272,2,77.5,0.5855329843787692
Jacob Janerka,1850.0,1850.0,,1,86.0,0.5
Kabam Games,1235.0,1235.0,,1,78.0,0.5
Kalypso Media,1482.0,1281.0,648.5363007059307,4,74.75,0.4376088398825443
Kasedo Games,1194.5,1194.5,922.7743494484445,2,70.0,0.7725193381736664
Kiss,3431.0,3431.0,,1,78.0,0.5
Koch Media,1997.0,1997.0,,1,72.0,0.5
Koei Tecmo Games,1426.5,1426.5,34.64823227814083,2,84.0,0.02428898161804475
Komi Games,1008.0,1008.0,,1,78.0,0.5
Konami,1424.3333333333333,1960.0,970.5464096751548,3,78.0,0.6814039852622197
Kongregate,820.0,791.0,261.7078523850593,3,68.0,0.31915591754275524
Krillbite Studio,2703.0,2703.0,,1,66.0,0.5
LEAP Game Studios,513.0,513.0,,1,78.0,0.5
LEGO® Games,1098.0,1098.0,,1,78.0,0.5
M2H,1765.5,1765.5,723.3702371538382,2,74.0,0.4097254246127659
Majesco Entertainment,2994.0,2994.0,,1,68.0,0.5
Maple Whispering,925.0,925.0,,1,78.0,0.5
Matt Makes Games,1533.5,1533.5,1181.575431362721,2,89.0,0.7705089216581161
Mega Cat Studios,449.0,449.0,,1,78.0,0.5
Mellowsoft,427.0,427.0,,1,78.0,0.5
Merge Games,2218.0,2218.0,1653.215654414148,2,69.5,0.7453632346321677
Meridian4,3766.0,3766.0,,1,84.0,0.5
Mi'pu'mi Games,1401.0,1401.0,,1,78.0,0.5
Microids,1199.0,1199.0,,1,79.0,0.5
Microsoft Studios,3204.625,3179.0,1203.039832792628,8,84.5,0.3754073667878856
MidBoss,2187.0,2187.0,,1,78.0,0.5
Midjiwan,3502.0,3502.0,,1,78.0,0.5
Midnight City,4039.0,4039.0,,1,74.0,0.5
Mighty Yell,961.0,961.0,,1,76.0,0.5
Milestone,1726.5,1726.5,762.9682169002848,2,76.0,0.4419161406894207
Mischief,680.0,680.0,,1,78.0,0.5
Misfits Attic,2473.0,2473.0,,1,83.0,0.5
Modus Games,254.33333333333334,219.0,106.49100118476365,3,75.0,0.41870642667665914
Mokuzai Studio,3632.0,3632.0,,1,78.0,0.5
Monomi Park,1148.0,1148.0,,1,81.0,0.5
Monstrum,1617.0,1617.0,,1,78.0,0.5
Moonlit,597.0,597.0,,1,78.0,0.5
Netflix,358.0,358.0,,1,78.0,0.5
Nexon,772.0,772.0,,1,78.0,0.5
Nicalis,2591.0,2078.0,2109.8063892215323,3,82.33333333333333,0.8142826666235169
Night School Studio,1162.0,1162.0,,1,80.0,0.5
Ninja Kiwi,1876.0,1876.0,,1,78.0,0.5
Nintendo,867.0,867.0,,1,70.0,0.5
Nival,1345.0,1345.0,,1,73.0,0.5
Noodlecake Studios,2036.0,2036.0,,1,66.0,0.5
North Beach Games,415.0,415.0,,1,78.0,0.5
Nuverse,484.0,484.0,,1,78.0,0.5
Oddworld Inhabitants,2341.0,2341.0,,1,87.0,0.5
Other Ocean Group,2421.0,2421.0,,1,75.0,0.5
Over The Moon,2485.0,2485.0,,1,76.0,0.5
PQube,2275.6666666666665,2019.0,444.5597072760118,3,77.0,0.19535361386085184
Paradox Interactive,1774.0,1306.5,1112.5886930937238,6,80.16666666666667,0.6271638630742524
Passion Republic Games,489.0,489.0,,1,78.0,0.5
Payload Studios,3606.0,3606.0,,1,78.0,0.5
Perfect World Entertainment,1937.0,1937.0,1535.8359287371811,2,82.0,0.7928941294461441
Picogram,1289.0,1289.0,,1,78.0,0.5
PlayStack,1668.0,1668.0,,1,75.0,0.5
PlayWay,1777.5,1777.5,19.091883092036785,2,78.0,0.010740862499036165
Playdead,1640.0,1640.0,,1,87.0,0.5
Plug In Digital,2139.25,2297.0,978.8688625142798,4,78.5,0.457575721638088
Prime Matter,472.0,472.0,,1,73.0,0.5
Prismatika,1034.0,1034.0,,1,78.0,0.5
Private Division,1602.5,1602.5,1709.0770901278854,2,83.0,1.066506764510381
RESETgame,6207.0,6207.0,,1,78.0,0.5
Ravenscourt,535.0,535.0,,1,74.0,0.5
Raw Fury,1128.6666666666667,1087.0,403.93718571084787,9,77.33333333333333,0.3578888237249095
Red Hook Studios,1803.0,1803.0,,1,84.0,0.5
RedRuins Softworks,791.0,791.0,,1,66.0,0.5
Righteous Hammer Games,1673.0,1673.0,,1,78.0,0.5
Ripstone,1994.75,2199.0,625.9698475166356,4,79.25,0.31380867152106057
Robot Entertainment,1630.0,1630.0,,1,78.0,0.5
Rockstar Games,2431.0,2431.0,,1,92.0,0.5
Rooster Teeth Games,3185.0,3185.0,,1,68.0,0.5
Runic Games,920.0,920.0,,1,78.0,0.5
SEGA,1495.142857142857,1409.0,946.2882627352387,7,82.14285714285714,0.6329082590432517
SUPERHOT Team,1396.0,1396.0,,1,82.0,0.5
Saber Interactive,654.625,555.0,402.1804632251547,8,76.125,0.6143677116290315
Santa Ragione,1304.0,1304.0,,1,63.0,0.5
Secret Mode,575.5,575.5,81.31727983645297,2,78.0,0.14129848798688613
Sekai Project,4270.0,4270.0,,1,78.0,0.5
Serenity Forge,2199.3333333333335,2225.0,1233.700260733268,3,71.66666666666667,0.5609428284631409
Shiro Games,1351.0,1351.0,,1,66.0,0.5
Sinkhole Studio,805.0,805.0,,1,78.0,0.5
Ska Studios,2115.0,2115.0,,1,84.0,0.5
Skybound Games,628.6666666666666,630.0,290.0022988414632,3,75.0,0.4612974000659542
Slitherine,1709.0,1709.0,,1,71.0,0.5
Snapbreak Games,857.0,857.0,,1,78.0,0.5
Snowcastle Games,2632.0,2632.0,,1,78.0,0.5
Something We Made,1099.0,1099.0,,1,79.0,0.5
Sony Computer Entertainment,758.0,758.0,,1,68.0,0.5
Sony Interactive Entertainment,1287.0,1287.0,,1,84.0,0.5
Spiderweb Software,491.0,491.0,,1,78.0,0.5
Spooky Doorway,3053.0,3053.0,,1,73.0,0.5
Square Enix,2125.8888888888887,2153.0,1209.0518438475297,9,80.55555555555556,0.5687276744173819
Stardock Entertainment,2171.0,2171.0,376.1808075912433,2,79.5,0.17327536047500844
Studio Sai,829.0,829.0,,1,78.0,0.5
Studio Wildcard,2669.0,2669.0,,1,70.0,0.5
Subset Games,1789.5,1789.5,1229.6586924834062,2,87.0,0.6871521053274133
Supergiant Games,1794.0,1794.0,,1,83.0,0.5
Supra Games,1168.0,1168.0,,1,84.0,0.5
Sweet Bandits Studios,597.0,597.0,,1,78.0,0.5
Systemic Reaction,175.0,175.0,,1,78.0,0.5
TBA,436.0,436.0,,1,78.0,0.5
THQ,2696.0,2696.0,,1,83.0,0.5
THQ Nordic,3462.5,3462.5,231.22391744800103,2,80.5,0.06677947074310499
Tanuki Creative Studio,1015.0,1015.0,,1,78.0,0.5
Tate Multimedia,8524.0,8524.0,,1,78.0,0.5
Team Colorblind,926.0,926.0,,1,81.0,0.5
Team17 Digital,1825.4375,1298.0,2143.2742231999464,16,75.1875,1.1741153686170829
Techland Publishing,1741.0,1741.0,1769.1811665287419,2,81.0,1.016186769976302
Telltale Games,1891.0,1891.0,513.3595231414336,2,79.5,0.2714751576633705
Tequila Works,728.0,728.0,,1,78.0,0.5
Terrible Toybox,695.0,695.0,,1,84.0,0.5
The Astronauts,2458.0,2458.0,,1,80.0,0.5
The Drone Racing League,1924.0,1924.0,,1,78.0,0.5
The Fullbright Company,1087.0,1087.0,,1,78.0,0.5
The MIX Games,2.0,2.0,,1,78.0,0.5
The Quantum Astrophysicists Guild,1154.5,1154.5,1085.4089091213505,2,78.0,0.9401549667573412
TheGameWall Studios,653.0,653.0,,1,53.0,0.5
Thekla,1165.0,1165.0,,1,87.0,0.5
Thermite Games,860.0,860.0,,1,78.0,0.5
Thomas Happ Games,1409.0,1409.0,,1,80.0,0.5
Those Awesome Guys,779.0,779.0,,1,76.0,0.5
Thunder Lotus Games,2417.0,2417.0,,1,79.0,0.5
Thunderful Publishing,1026.0,1026.0,183.84776310850236,2,73.0,0.1791888529322635
Tomorrow,2431.25,2793.0,1523.899028807355,4,78.5,0.6267965157048248
Total Mayhem Games,2269.0,2269.0,,1,70.0,0.5
Trapped Nerve Games,590.0,590.0,,1,75.0,0.5
Tripwire Interactive,1596.0,1983.0,735.3210183314495,3,74.66666666666667,0.46072745509489316
Triternion,1445.0,1445.0,,1,81.0,0.5
Turning Wheel,1864.0,1864.0,,1,78.0,0.5
Ubisoft Entertainment,1566.8333333333333,1485.0,546.612263553121,6,77.83333333333333,0.34886433159437574
Unknown Worlds Entertainment,323.0,323.0,,1,83.0,0.5
Uppercut Games,1032.0,1032.0,558.6143571373725,2,78.0,0.5412929817222601
VIZ Media,569.0,569.0,,1,78.0,0.5
Vanimals,1199.0,1199.0,,1,78.0,0.5
Versus Evil,1502.6666666666667,1109.0,707.9903483334596,3,76.0,0.47115595496902807
Vertigo Gaming,926.0,926.0,,1,78.0,0.5
Vlambeer,1434.0,1434.0,,1,78.0,0.5
Wales Interactive,1451.0,1451.0,,1,64.0,0.5
Wargaming,422.5,422.5,361.3315651863258,2,78.0,0.8552226394942622
Warhorse Studios,2514.0,2514.0,,1,71.0,0.5
Warner Bros. Interactive,1828.6666666666667,1549.0,955.6988716815215,3,86.33333333333333,0.5226206006278826
Wired Productions,794.0,707.0,500.2069571687303,3,69.66666666666667,0.6299835732603656
X.D. Network,2717.0,2717.0,,1,78.0,0.5
Zachtronics,3132.0,3132.0,,1,78.0,0.5
Zen Studios,3033.0,3033.0,,1,78.0,0.5
Zodiac Interactive,785.0,785.0,,1,78.0,0.5
adamgryu,227.0,227.0,,1,84.0,0.5
bilibili,1299.5,1299.5,350.017856687341,2,74.5,0.2693481005674036
indienova,332.0,332.0,,1,78.0,0.5
poncle,791.0,791.0,,1,78.0,0.5
tinyBuild,854.0,854.0,,1,40.0,0.5
ustwo games,2632.3333333333335,3026.0,1769.6503421109303,3,85.0,0.67227441133757
