publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
PixelTail Games,1057.0,1057.0,,1,76.0,0.5
Pixellore,802.0,802.0,,1,76.0,0.5
Pixmain,359.0,359.0,77.78174593052023,2,76.0,0.21666224493181122
PlayWay,620.2,412.0,471.53494038087996,5,72.0,0.7602949699788454
Playdead,334.0,334.0,,1,93.0,0.5
Playdigious,1172.0,1172.0,1269.9637790110394,2,74.5,1.08358684215959
Playtonic Friends,850.0,850.0,520.430590953299,2,80.0,0.6122712834744694
Plug In Digital,633.4285714285714,527.0,359.1375811549137,14,76.21428571428571,0.5669740794055922
Powerhoof,1646.0,1646.0,,1,76.0,0.5
Poysky Productions,640.5,640.5,437.6990975544729,2,76.0,0.6833709563692005
Prime Matter,481.0,481.0,,1,73.0,0.5
Private Division,817.0,797.5,484.04200919617165,4,76.25,0.5924626795546777
Privateer Press Interactive,3726.0,3726.0,,1,76.0,0.5
Psyonix,330.0,330.0,,1,86.0,0.5
Pulsatrix Studios,218.0,218.0,,1,73.0,0.5
Puppygames,824.0,824.0,,1,76.0,0.5
Question,267.0,267.0,,1,79.0,0.5
Rain Games,181.0,181.0,,1,75.0,0.5
Raiser Games,439.0,439.0,14.142135623730951,2,74.5,0.03221443194471743
Ravenage Games,292.0,292.0,,1,76.0,0.5
Ravenscourt,271.0,271.0,,1,74.0,0.5
Raw Fury,515.3076923076923,528.0,184.8469567937147,13,75.84615384615384,0.3587118134524991
Rebellion,1868.0,1066.5,1958.9250453586358,4,73.5,1.0486750778151155
Red Barrels,365.0,365.0,,1,76.0,0.5
RedCandleGames,579.0,579.0,,1,83.0,0.5
Retroism,6681.0,6681.0,,1,76.0,0.5
Reverb Triple XP,661.0,661.0,,1,76.0,0.5
Rewindapp,1285.0,1285.0,,1,76.0,0.5
Ripstone,1065.0,1065.0,,1,83.0,0.5
Robot Gentleman,287.0,287.0,,1,68.0,0.5
Rogue Earth,1235.0,1235.0,,1,76.0,0.5
Ronimo Games,261.0,261.0,,1,76.0,0.5
RyseUp Studios,803.0,803.0,,1,76.0,0.5
SCS Software,972.0,972.0,,1,76.0,0.5
SEGA,1656.5185185185185,1066.0,1660.7442578640728,27,81.33333333333333,1.0025509762180826
SUPERHOT Team,593.0,593.0,151.32085117392117,2,82.5,0.2551785011364607
Saber Interactive,365.0,365.0,,1,66.0,0.5
Santa Ragione,272.0,272.0,29.698484809834994,2,76.0,0.10918560591851101
SayGames,1220.0,1220.0,,1,76.0,0.5
Secret Mode,272.5,272.5,149.19953083036154,2,76.0,0.5475212140563727
Serenity Forge,905.0,905.0,,1,77.0,0.5
Serkan Binici,1727.0,1727.0,,1,76.0,0.5
Shark Punch,212.0,212.0,,1,68.0,0.5
Shining Rock Software,652.0,652.0,,1,73.0,0.5
Shiro Games,572.0,572.0,,1,66.0,0.5
Shiro Unlimited,39.0,39.0,,1,61.0,0.5
Simpleton,927.0,927.0,,1,76.0,0.5
Sindiecate Arts,74.0,74.0,,1,76.0,0.5
Sketchy Logic,801.0,801.0,,1,77.0,0.5
Skybound Games,487.0,487.0,,1,69.0,0.5
Slitherine,925.2,1036.0,207.19362924568892,5,73.4,0.22394469222404767
Snapbreak,335.0,335.0,,1,76.0,0.5
Snapshot Games,545.0,545.0,,1,76.0,0.5
Sneaky Bastards,279.0,279.0,,1,76.0,0.5
Sneaky Yak Studio,430.0,430.0,,1,76.0,0.5
Snowcastle Games,1399.0,1399.0,,1,76.0,0.5
Soedesco,307.0,307.0,,1,80.0,0.5
Sold Out,124.0,124.0,,1,71.0,0.5
Sole Survivor Games,625.0,625.0,,1,75.0,0.5
Something We Made,456.0,456.0,,1,79.0,0.5
Sony Computer Entertainment,2097.0,2097.0,2234.45742854949,2,72.0,1.065549560586309
Sony Interactive Entertainment,554.0,554.0,,1,76.0,0.5
Spiderweb Software,572.0,572.0,52.32590180780452,2,77.0,0.09147884931434357
Spooky Doorway,524.0,524.0,,1,73.0,0.5
Squanch Games,609.0,609.0,,1,67.0,0.5
Square Enix,1119.1333333333334,1066.0,657.3006342683108,15,78.86666666666666,0.5873300478956729
Star Drifters,868.0,868.0,,1,76.0,0.5
Stardock Entertainment,912.3333333333334,487.0,984.5051210295115,3,83.66666666666667,1.079106818812033
Steel Crate Games,237.0,237.0,,1,67.0,0.5
Stellar Jockeys,364.0,364.0,,1,70.0,0.5
Stray Fawn Studio,862.6666666666666,954.0,513.1328612877306,3,76.0,0.5948217093752673
Studio Aurum,943.0,943.0,,1,76.0,0.5
Studio Wildcard,273.0,273.0,,1,70.0,0.5
StudioInkyfox,1369.0,1369.0,,1,77.0,0.5
