game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Lara Croft and the Guardian of Light,2/1/2015,9/1/2025,,84,Square Enix,"Square Enix, Crystal Dynamics",Xbox / PC
Peppa Pig: World Adventures,3/1/2023,9/1/2025,,72,Outright Games,Petoons Studio,Xbox / PC
Visions of Mana,8/1/2024,9/1/2025,,75,Square Enix,Square Enix,Xbox / PC
SWORN,9/1/2025,9/1/2025,,,"Team17 Digital, Low End Games","Windwalk Games, Low End Games",Xbox / PC
ENDLESS Legend 2 (Game Preview),9/1/2025,9/1/2025,,82,SEGA,Amplitude Studios,PC
Hades,12/1/2018,9/1/2025,,94,Supergiant Games,Supergiant Games,Xbox / PC
Frostpunk 2,9/1/2024,9/1/2025,,85,11 bit studios,11 Bit Studios,Xbox / PC
Wobbly Life,8/1/2025,9/1/2025,,80,RubberBandGames,RubberBandGames,Xbox / PC
Deep Rock Galactic: Survivor,9/1/2025,9/1/2025,,,Ghost Ship Publishing,Funday Games,Xbox / PC
PAW Patrol World,9/1/2023,9/1/2025,,79,Outright Games,3DClouds,Xbox / PC
RoadCraft,5/1/2025,9/1/2025,,77,,lassevalentini,Xbox
Hollow Knight: Silksong,9/1/2025,9/1/2025,,,Team Cherry,Team Cherry,Xbox / PC
Cataclismo,3/1/2025,9/1/2025,,82,"Humble Games, Hooded Horse",Digital Sun,PC
I Am Your Beast,9/1/2024,9/1/2025,,79,"Strange Scaffold, Frosty Pop",Strange Scaffold,Xbox / PC
Dragon Age: The Veilguard,10/1/2024,8/1/2025,,82,Electronic Arts,BioWare,Xbox / PC
Gears of War: Reloaded,8/1/2025,8/1/2025,,79,"Microsoft Studios, Xbox Game Studios",The Coalition,Xbox / PC
Herdling,8/1/2025,8/1/2025,,77,Panic,Okomotive,Xbox / PC
The Rogue Prince of Persia,8/1/2025,8/1/2025,,81,Ubisoft Entertainment,Evil Empire,Xbox / PC
Persona 4: Golden,6/1/2012,8/1/2025,,90,"SEGA, Atlus","Atlus, P Studio",Xbox / PC
Blacksmith Master,5/1/2025,8/1/2025,,,Hooded Horse,Untitled Studio,PC
VOID/BREAKER,8/1/2025,8/1/2025,,,PlayStack,Stubby Games,PC
9 Kings (Game Preview),8/1/2025,8/1/2025,,,Holospark,Holospark,PC
Caesar III,9/1/1998,8/1/2025,,,Activision Blizzard,Impressions Games,Xbox / PC
Climber 5,1/1/1987,8/1/2025,,,Nintendo,Nintendo,Xbox / PC
The Colonel's Bequest,10/1/1989,8/1/2025,,,"Activision Blizzard, Sierra On-Line, Sierra Entertainment","Sierra Entertainment, Sierra, Sierra On-Line",Xbox / PC
Private Eye,2/1/1984,8/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Oystron,1/1/1997,8/1/2025,,,XYPE,Piero Cavina,Xbox / PC
Shootin' Gallery,1/1/1982,8/1/2025,,,,JamesGottago,Xbox / PC
Wing War,12/1/1983,8/1/2025,,,"GOG, Strategic Simulations, SNEG",DreamForge Intertainment,Xbox / PC
Aliens: Fireteam Elite,8/1/2022,8/1/2025,,69,"Focus Home Interactive, Cold Iron Studios",Cold Iron Studios,Xbox / PC
Assassin's Creed Mirage,10/1/2023,8/1/2025,,76,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Bordeaux",Xbox / PC
Heretic + Hexen,8/1/2025,8/1/2025,,82,Bethesda Softworks,"id Software, Nightdive Studios",Xbox / PC
Rain World,3/1/2017,8/1/2025,,59,Adult Swim Games,"Adult Swim, Videocult",Xbox / PC
Farming Simulator 25,11/1/2024,8/1/2025,,75,Giants Software,Giants Software,Xbox / PC
Grounded 2 (Game Preview),7/1/2025,7/1/2025,,,,,Xbox / PC
WUCHANG: Fallen Feathers,7/1/2025,7/1/2025,,74,505 Games,"Leenzee Games, Leenzee",Xbox / PC
Wheel World,7/1/2025,7/1/2025,,71,Annapurna Interactive,Messhof,Xbox / PC
Abiotic Factor,7/1/2025,7/1/2025,,88,PlayStack,Deep Field Games,Xbox / PC
Descenders Next (Game Preview),7/1/2025,7/1/2025,,,,,Xbox / PC
Caesar,1/1/1992,7/1/2025,,,"Activision Blizzard, Sierra Entertainment",Impressions Games,Xbox / PC
